country,region,year,year_normalized,vehicle_segment,ev_sales(units),petrol_car_sales(units),diesel_car_sales(units),ice_total_sales(units),total_vehicle_sales(units),ev_ice_ratio,ev_market_share(%),market_share_change(%),charging_stations(units),fast_chargers_share(%),chargers_per_ev_ratio,average_ev_range(km),fuel_price(usd/ltr),electricity_price(usd/kwh),fuel_to_electric_ratio,gdp(usd/person),urban_population(%),co2_emissions(mt),ev_subsidy(usd),emission_regulation(scale_0-100),ev_growth_rate_yoy(%),ev_growth_rate_category,ev_domination(0/1),economic_index,policy_index,policy_index_lagged_1y,environmental_stringency_ratio
Australia,Oceania,2018,8,commercial,257,97669,65113,162782,163039,0.0015787986386701233,0.16,0.05,2046,13.6,7.961089494163424,264,1.11,0.218,5.091743119266056,55117,87.7,97.9,0,41.0,29.8,Moderate Growth,0,4833.7609,0.0,0.0,2.330952380952381
Australia,Oceania,2018,8,mass_market,2940,572260,78035,650295,653235,0.0045210250732359925,0.45,0.14,2046,13.6,0.6959183673469388,264,1.11,0.218,5.091743119266056,55117,87.7,97.9,0,41.0,32.43,Moderate Growth,0,4833.7609,0.0,0.0,2.330952380952381
Australia,Oceania,2018,8,premium,1810,253500,22043,275543,277353,0.0065688476934634525,0.65,0.2,2046,13.6,1.1303867403314918,264,1.11,0.218,5.091743119266056,55117,87.7,97.9,0,41.0,35.38,Moderate Growth,0,4833.7609,0.0,0.0,2.330952380952381
Australia,Oceania,2019,9,commercial,468,96285,64190,160475,160943,0.0029163421093628293,0.29,0.12999999999999998,2610,14.6,5.576923076923077,289,1.17,0.219,5.342465753424658,54844,87.1,93.3,0,43.2,82.1,Fast Growth,0,4776.912399999999,0.0,0.0,2.110859728506787
Australia,Oceania,2019,9,mass_market,5228,549725,74963,624688,629916,0.008368977793714623,0.83,0.37999999999999995,2610,14.6,0.49923488905891356,289,1.17,0.219,5.342465753424658,54844,87.1,93.3,0,43.2,77.82,Fast Growth,0,4776.912399999999,0.0,0.0,2.110859728506787
Australia,Oceania,2019,9,premium,3179,240099,20878,260977,264156,0.012181150063032374,1.2,0.5499999999999999,2610,14.6,0.8210128971374646,289,1.17,0.219,5.342465753424658,54844,87.1,93.3,0,43.2,75.64,Fast Growth,0,4776.912399999999,0.0,0.0,2.110859728506787
Australia,Oceania,2020,10,commercial,349,82916,55277,138193,138542,0.00252545353237863,0.25,-0.03999999999999998,3031,17.0,8.684813753581661,346,1.267,0.218,5.811926605504587,58442,85.9,89.6,0,45.6,-25.43,Decline,0,5020.167800000001,0.0,0.0,1.9227467811158796
Australia,Oceania,2020,10,mass_market,4009,486451,66334,552785,556794,0.007252367557006793,0.72,-0.10999999999999999,3031,17.0,0.7560488899975056,346,1.267,0.218,5.811926605504587,58442,85.9,89.6,0,45.6,-23.32,Decline,0,5020.167800000001,0.0,0.0,1.9227467811158796
Australia,Oceania,2020,10,premium,2415,210605,18313,228918,231333,0.010549629124839463,1.04,-0.15999999999999992,3031,17.0,1.2550724637681159,346,1.267,0.218,5.811926605504587,58442,85.9,89.6,0,45.6,-24.03,Decline,0,5020.167800000001,0.0,0.0,1.9227467811158796
Australia,Oceania,2021,11,commercial,1094,92662,61774,154436,155530,0.007083840555310938,0.7,0.44999999999999996,4245,19.1,3.880255941499086,367,1.397,0.223,6.26457399103139,62105,86.3,87.1,1002,47.2,213.47,Extraordinary Growth,0,5359.6615,472.944,0.0,1.8070539419087135
Australia,Oceania,2021,11,mass_market,12285,527029,71868,598897,611182,0.020512709197073955,2.01,1.2899999999999998,4245,19.1,0.34554334554334554,367,1.397,0.223,6.26457399103139,62105,86.3,87.1,1002,47.2,206.44,Extraordinary Growth,0,5359.6615,472.944,0.0,1.8070539419087135
Australia,Oceania,2021,11,premium,7441,228052,19831,247883,255324,0.030018194067362426,2.91,1.87,4245,19.1,0.570487837656229,367,1.397,0.223,6.26457399103139,62105,86.3,87.1,1002,47.2,208.12,Extraordinary Growth,0,5359.6615,472.944,0.0,1.8070539419087135
Australia,Oceania,2022,12,commercial,4541,94469,62979,157448,161989,0.028841268228240433,2.8,2.0999999999999996,4928,20.5,1.0852235190486677,407,1.46,0.23,6.3478260869565215,63869,86.2,89.5,1999,52.1,300.0,Extraordinary Growth,0,5505.507799999999,1041.479,472.944,1.6854990583804144
Australia,Oceania,2022,12,mass_market,51183,517272,70537,587809,638992,0.08707420267467834,8.01,6.0,4928,20.5,0.09628196862239416,407,1.46,0.23,6.3478260869565215,63869,86.2,89.5,1999,52.1,300.0,Extraordinary Growth,0,5505.507799999999,1041.479,472.944,1.6854990583804144
Australia,Oceania,2022,12,premium,31580,221097,19226,240323,271903,0.1314064821094943,11.61,8.7,4928,20.5,0.15604813172894236,407,1.46,0.23,6.3478260869565215,63869,86.2,89.5,1999,52.1,300.0,Extraordinary Growth,0,5505.507799999999,1041.479,472.944,1.6854990583804144
Australia,Oceania,2023,13,commercial,5073,107470,71646,179116,184189,0.02832242792380357,2.75,-0.04999999999999982,6741,25.8,1.3287995269071555,429,1.47,0.238,6.176470588235294,62658,86.2,90.8,1998,54.7,11.72,Slow Growth,0,5401.119600000001,1092.906,1041.479,1.63016157989228
Australia,Oceania,2023,13,mass_market,57799,595430,81195,676625,734424,0.0854225013855533,7.87,-0.13999999999999968,6741,25.8,0.116628315368778,429,1.47,0.238,6.176470588235294,62658,86.2,90.8,1998,54.7,12.93,Slow Growth,0,5401.119600000001,1092.906,1041.479,1.63016157989228
Australia,Oceania,2023,13,premium,35066,250441,21778,272219,307285,0.12881540230476196,11.41,-0.1999999999999993,6741,25.8,0.1922374950094108,429,1.47,0.238,6.176470588235294,62658,86.2,90.8,1998,54.7,11.04,Slow Growth,0,5401.119600000001,1092.906,1041.479,1.63016157989228
Australia,Oceania,2024,14,commercial,6184,107417,71611,179028,185212,0.03454208280269008,3.34,0.5899999999999999,10083,27.4,1.6304980595084089,450,1.39,0.247,5.627530364372469,61661,86.6,88.1,2027,57.9,21.9,Moderate Growth,0,5339.8426,1173.633,1092.906,1.4957555178268251
Australia,Oceania,2024,14,mass_market,69778,582248,79397,661645,731423,0.10546138790438982,9.54,1.669999999999999,10083,27.4,0.14450113216199947,450,1.39,0.247,5.627530364372469,61661,86.6,88.1,2027,57.9,20.73,Moderate Growth,0,5339.8426,1173.633,1092.906,1.4957555178268251
Australia,Oceania,2024,14,premium,42428,243146,21143,264289,306717,0.16053638252064975,13.83,2.42,10083,27.4,0.23764966531535778,450,1.39,0.247,5.627530364372469,61661,86.6,88.1,2027,57.9,20.99,Moderate Growth,0,5339.8426,1173.633,1092.906,1.4957555178268251
Australia,Oceania,2025,15,commercial,7871,106880,71254,178134,186005,0.04418583762785319,4.23,0.8900000000000006,13357,31.2,1.6969889467666117,479,1.32,0.258,5.116279069767442,62917,87.1,84.5,2011,61.6,27.28,Moderate Growth,0,5480.070699999999,1238.776,1173.633,1.3498402555910542
Australia,Oceania,2025,15,mass_market,90872,581468,79291,660759,751631,0.1375266927881421,12.09,2.5500000000000007,13357,31.2,0.1469869706840391,479,1.32,0.258,5.116279069767442,62917,87.1,84.5,2011,61.6,30.23,Moderate Growth,0,5480.070699999999,1238.776,1173.633,1.3498402555910542
Australia,Oceania,2025,15,premium,54396,235423,20472,255895,310291,0.21257156255495419,17.53,3.700000000000001,13357,31.2,0.24555114346643137,479,1.32,0.258,5.116279069767442,62917,87.1,84.5,2011,61.6,28.21,Moderate Growth,0,5480.070699999999,1238.776,1173.633,1.3498402555910542
Austria,Europe,2010,0,commercial,7,29372,19584,48956,48963,0.0001429855380341531,0.01,0.0,106,3.1,15.142857142857142,123,1.25,0.183,6.830601092896175,47040,57.6,21.9,0,55.7,0.0,Decline,0,2709.504,0.0,0.0,0.3862433862433862
Austria,Europe,2010,0,mass_market,39,172919,23580,196499,196538,0.00019847429249003813,0.02,0.0,106,3.1,2.717948717948718,123,1.25,0.183,6.830601092896175,47040,57.6,21.9,0,55.7,0.0,Decline,0,2709.504,0.0,0.0,0.3862433862433862
Austria,Europe,2010,0,premium,23,74257,6457,80714,80737,0.0002849567609088882,0.03,0.0,106,3.1,4.608695652173913,123,1.25,0.183,6.830601092896175,47040,57.6,21.9,0,55.7,0.0,Decline,0,2709.504,0.0,0.0,0.3862433862433862
Austria,Europe,2011,1,commercial,7,29600,19734,49334,49341,0.0001418899744598046,0.01,0.0,245,4.3,35.0,132,1.223,0.181,6.756906077348067,46642,57.6,22.6,570,57.3,0.0,Decline,0,2686.5792,326.61,0.0,0.38765008576329335
Austria,Europe,2011,1,mass_market,77,169880,23165,193045,193122,0.00039887072962262686,0.04,0.02,245,4.3,3.1818181818181817,132,1.223,0.181,6.756906077348067,46642,57.6,22.6,570,57.3,97.44,Fast Growth,0,2686.5792,326.61,0.0,0.38765008576329335
Austria,Europe,2011,1,premium,47,74737,6499,81236,81283,0.0005785612290117682,0.06,0.03,245,4.3,5.212765957446808,132,1.223,0.181,6.756906077348067,46642,57.6,22.6,570,57.3,104.35,Extraordinary Growth,0,2686.5792,326.61,0.0,0.38765008576329335
Austria,Europe,2012,2,commercial,12,28680,19120,47800,47812,0.00025104602510460253,0.03,0.019999999999999997,399,6.0,33.25,136,1.207,0.185,6.524324324324325,45538,57.6,23.1,1145,59.0,30.93,Moderate Growth,0,2622.9888,675.55,326.61,0.385
Austria,Europe,2012,2,mass_market,135,169419,23103,192522,192657,0.0007012185620344688,0.07,0.030000000000000006,399,6.0,2.9555555555555557,136,1.207,0.185,6.524324324324325,45538,57.6,23.1,1145,59.0,86.05,Fast Growth,0,2622.9888,675.55,326.61,0.385
Austria,Europe,2012,2,premium,78,70738,6151,76889,76967,0.0010144494010846806,0.1,0.04000000000000001,399,6.0,5.115384615384615,136,1.207,0.185,6.524324324324325,45538,57.6,23.1,1145,59.0,84.15,Fast Growth,0,2622.9888,675.55,326.61,0.385
Austria,Europe,2013,3,commercial,16,27821,18547,46368,46384,0.0003450655624568668,0.03,0.0,515,7.0,32.1875,145,1.2,0.192,6.25,44093,58.0,23.4,1707,61.1,31.73,Moderate Growth,0,2557.394,1042.9769999999999,675.55,0.3768115942028985
Austria,Europe,2013,3,mass_market,189,165919,22625,188544,188733,0.001002418533604888,0.1,0.03,515,7.0,2.7248677248677247,145,1.2,0.192,6.25,44093,58.0,23.4,1707,61.1,40.0,Moderate Growth,0,2557.394,1042.9769999999999,675.55,0.3768115942028985
Austria,Europe,2013,3,premium,114,72526,6307,78833,78947,0.0014460949094922176,0.14,0.04000000000000001,515,7.0,4.517543859649122,145,1.2,0.192,6.25,44093,58.0,23.4,1707,61.1,70.5,Fast Growth,0,2557.394,1042.9769999999999,675.55,0.3768115942028985
Austria,Europe,2014,4,commercial,47,27797,18531,46328,46375,0.0010145052667932999,0.1,0.07,1521,8.7,32.361702127659576,155,1.197,0.196,6.107142857142858,44555,57.6,23.2,2323,62.8,88.65,Fast Growth,0,2566.368,1458.844,1042.9769999999999,0.36363636363636365
Austria,Europe,2014,4,mass_market,543,164197,22391,186588,187131,0.0029101549938902824,0.29,0.18999999999999997,1521,8.7,2.8011049723756907,155,1.197,0.196,6.107142857142858,44555,57.6,23.2,2323,62.8,187.3,Extraordinary Growth,0,2566.368,1458.844,1042.9769999999999,0.36363636363636365
Austria,Europe,2014,4,premium,332,72229,6281,78510,78842,0.0042287606674309,0.42,0.27999999999999997,1521,8.7,4.581325301204819,155,1.197,0.196,6.107142857142858,44555,57.6,23.2,2323,62.8,191.23,Extraordinary Growth,0,2566.368,1458.844,1042.9769999999999,0.36363636363636365
Austria,Europe,2015,5,commercial,76,29553,19702,49255,49331,0.0015429905593340777,0.15,0.04999999999999999,2292,10.3,30.157894736842106,171,1.193,0.202,5.905940594059406,43327,57.6,23.2,2801,64.4,85.02,Fast Growth,0,2495.6352,1803.8440000000003,1458.844,0.35474006116207946
Austria,Europe,2015,5,mass_market,861,171452,23380,194832,195693,0.004419191919191919,0.44,0.15000000000000002,2292,10.3,2.662020905923345,171,1.193,0.202,5.905940594059406,43327,57.6,23.2,2801,64.4,58.56,Fast Growth,0,2495.6352,1803.8440000000003,1458.844,0.35474006116207946
Austria,Europe,2015,5,premium,528,75598,6574,82172,82700,0.0064255464148371706,0.64,0.22000000000000003,2292,10.3,4.340909090909091,171,1.193,0.202,5.905940594059406,43327,57.6,23.2,2801,64.4,59.04,Fast Growth,0,2495.6352,1803.8440000000003,1458.844,0.35474006116207946
Austria,Europe,2016,6,commercial,162,30504,20336,50840,51002,0.0031864673485444534,0.32,0.17,3438,11.3,21.22222222222222,190,1.2,0.207,5.797101449275362,44927,58.1,23.2,3445,67.6,116.34,Extraordinary Growth,0,2610.2587000000003,2328.8199999999997,1803.8440000000003,0.3381924198250729
Austria,Europe,2016,6,mass_market,1848,177091,24149,201240,203088,0.009183064997018485,0.91,0.47000000000000003,3438,11.3,1.8603896103896105,190,1.2,0.207,5.797101449275362,44927,58.1,23.2,3445,67.6,114.63,Extraordinary Growth,0,2610.2587000000003,2328.8199999999997,1803.8440000000003,0.3381924198250729
Austria,Europe,2016,6,premium,1112,76505,6653,83158,84270,0.013372134971981049,1.32,0.68,3438,11.3,3.091726618705036,190,1.2,0.207,5.797101449275362,44927,58.1,23.2,3445,67.6,110.61,Extraordinary Growth,0,2610.2587000000003,2328.8199999999997,1803.8440000000003,0.3381924198250729
Austria,Europe,2017,7,commercial,263,30505,20337,50842,51105,0.005172888556705086,0.51,0.19,4874,12.7,18.53231939163498,206,1.207,0.214,5.640186915887851,46311,58.0,23.4,3997,70.4,62.35,Fast Growth,0,2686.038,2813.8880000000004,2328.8199999999997,0.32773109243697474
Austria,Europe,2017,7,mass_market,3040,179289,24448,203737,206777,0.014921197426093444,1.47,0.5599999999999999,4874,12.7,1.6032894736842105,206,1.207,0.214,5.640186915887851,46311,58.0,23.4,3997,70.4,64.5,Fast Growth,0,2686.038,2813.8880000000004,2328.8199999999997,0.32773109243697474
Austria,Europe,2017,7,premium,1835,77526,6741,84267,86102,0.02177602145561133,2.13,0.8099999999999998,4874,12.7,2.6561307901907356,206,1.207,0.214,5.640186915887851,46311,58.0,23.4,3997,70.4,65.02,Fast Growth,0,2686.038,2813.8880000000004,2328.8199999999997,0.32773109243697474
Austria,Europe,2018,8,commercial,387,30164,20110,50274,50661,0.00769781596849266,0.76,0.25,6365,14.4,16.44702842377261,263,1.227,0.214,5.733644859813085,47724,58.5,23.8,4486,74.2,47.15,Moderate Growth,0,2791.854,3328.612,2813.8880000000004,0.31648936170212766
Austria,Europe,2018,8,mass_market,4440,175305,23905,199210,203650,0.02228803774910898,2.18,0.7100000000000002,6365,14.4,1.4335585585585586,263,1.227,0.214,5.733644859813085,47724,58.5,23.8,4486,74.2,46.05,Moderate Growth,0,2791.854,3328.612,2813.8880000000004,0.31648936170212766
Austria,Europe,2018,8,premium,2675,75406,6557,81963,84638,0.0326366775252248,3.16,1.0300000000000002,6365,14.4,2.3794392523364487,263,1.227,0.214,5.733644859813085,47724,58.5,23.8,4486,74.2,45.78,Moderate Growth,0,2791.854,3328.612,2813.8880000000004,0.31648936170212766
Austria,Europe,2019,9,commercial,516,28807,19204,48011,48527,0.010747537022765615,1.06,0.30000000000000004,8257,16.7,16.001937984496124,308,1.313,0.215,6.1069767441860465,48850,58.4,22.9,5026,75.9,33.33,Moderate Growth,0,2852.84,3814.7340000000004,3328.612,0.29778933680104025
Austria,Europe,2019,9,mass_market,5924,166261,22672,188933,194857,0.03135503061932007,3.04,0.8599999999999999,8257,16.7,1.3938217420661716,308,1.313,0.215,6.1069767441860465,48850,58.4,22.9,5026,75.9,33.42,Moderate Growth,0,2852.84,3814.7340000000004,3328.612,0.29778933680104025
Austria,Europe,2019,9,premium,3582,71458,6214,77672,81254,0.046117004840869294,4.41,1.25,8257,16.7,2.305136795086544,308,1.313,0.215,6.1069767441860465,48850,58.4,22.9,5026,75.9,33.91,Moderate Growth,0,2852.84,3814.7340000000004,3328.612,0.29778933680104025
Austria,Europe,2020,10,commercial,1419,21523,14349,35872,37291,0.03955731489741302,3.81,2.75,10082,18.7,7.1050035236081746,337,1.453,0.238,6.105042016806723,51354,58.6,22.2,5141,79.9,175.0,Extraordinary Growth,0,3009.3444,4107.659000000001,3814.7340000000004,0.2744128553770086
Austria,Europe,2020,10,mass_market,16251,117264,15990,133254,149505,0.12195506326264127,10.87,7.829999999999999,10082,18.7,0.6203925912251553,337,1.453,0.238,6.105042016806723,51354,58.6,22.2,5141,79.9,174.32,Extraordinary Growth,0,3009.3444,4107.659000000001,3814.7340000000004,0.2744128553770086
Austria,Europe,2020,10,premium,9963,48991,4260,53251,63214,0.18709507802670372,15.76,11.35,10082,18.7,1.0119441935160092,337,1.453,0.238,6.105042016806723,51354,58.6,22.2,5141,79.9,178.14,Extraordinary Growth,0,3009.3444,4107.659000000001,3814.7340000000004,0.2744128553770086
Austria,Europe,2021,11,commercial,2442,20095,13397,33492,35934,0.07291293443210319,6.8,2.9899999999999998,13094,20.5,5.361998361998362,366,1.647,0.286,5.758741258741259,51589,59.1,21.2,5048,82.6,72.09,Fast Growth,0,3048.9099,4169.648,4107.659000000001,0.2535885167464115
Austria,Europe,2021,11,mass_market,27900,101875,13892,115767,143667,0.2410013216201508,19.42,8.550000000000002,13094,20.5,0.46931899641577063,366,1.647,0.286,5.758741258741259,51589,59.1,21.2,5048,82.6,71.68,Fast Growth,0,3048.9099,4169.648,4107.659000000001,0.2535885167464115
Austria,Europe,2021,11,premium,16545,38835,3377,42212,58757,0.3919501563536435,28.16,12.4,13094,20.5,0.791417346630402,366,1.647,0.286,5.758741258741259,51589,59.1,21.2,5048,82.6,66.06,Fast Growth,0,3048.9099,4169.648,4107.659000000001,0.2535885167464115
Austria,Europe,2022,12,commercial,2154,18047,12031,30078,32232,0.07161380410931578,6.68,-0.1200000000000001,16353,22.4,7.591922005571031,401,1.737,0.326,5.328220858895706,52184,59.1,21.3,5053,84.8,-11.79,Decline,0,3084.0744,4284.9439999999995,4169.648,0.24825174825174826
Austria,Europe,2022,12,mass_market,25143,93777,12788,106565,131708,0.23594050579458548,19.09,-0.33000000000000185,16353,22.4,0.6503997136379907,401,1.737,0.326,5.328220858895706,52184,59.1,21.3,5053,84.8,-9.88,Decline,0,3084.0744,4284.9439999999995,4169.648,0.24825174825174826
Austria,Europe,2022,12,premium,14797,35566,3093,38659,53456,0.38275692594221267,27.68,-0.4800000000000004,16353,22.4,1.105156450631885,401,1.737,0.326,5.328220858895706,52184,59.1,21.3,5053,84.8,-10.57,Decline,0,3084.0744,4284.9439999999995,4169.648,0.24825174825174826
Austria,Europe,2023,13,commercial,2330,20460,13640,34100,36430,0.06832844574780059,6.4,-0.27999999999999936,20878,23.5,8.960515021459228,422,1.757,0.333,5.276276276276276,52958,59.1,20.9,5032,87.2,8.17,Slow Growth,0,3129.8178000000003,4387.904,4284.9439999999995,0.2369614512471655
Austria,Europe,2023,13,mass_market,26115,102806,14019,116825,142940,0.2235394821313931,18.27,-0.8200000000000003,20878,23.5,0.7994639096304805,422,1.757,0.333,5.276276276276276,52958,59.1,20.9,5032,87.2,3.87,Slow Growth,0,3129.8178000000003,4387.904,4284.9439999999995,0.2369614512471655
Austria,Europe,2023,13,premium,16147,41220,3584,44804,60951,0.3603919292920275,26.49,-1.1900000000000013,20878,23.5,1.2929956028983711,422,1.757,0.333,5.276276276276276,52958,59.1,20.9,5032,87.2,9.12,Slow Growth,0,3129.8178000000003,4387.904,4284.9439999999995,0.2369614512471655
Austria,Europe,2024,14,commercial,2990,20158,13439,33597,36587,0.0889960413132125,8.17,1.7699999999999996,26311,25.7,8.799665551839466,445,1.68,0.308,5.454545454545454,56638,59.3,20.1,5071,90.2,28.33,Moderate Growth,0,3358.6333999999997,4574.042,4387.904,0.22039473684210528
Austria,Europe,2024,14,mass_market,34343,99208,13528,112736,147079,0.3046320607436844,23.35,5.080000000000002,26311,25.7,0.7661241009812771,445,1.68,0.308,5.454545454545454,56638,59.3,20.1,5071,90.2,31.51,Moderate Growth,0,3358.6333999999997,4574.042,4387.904,0.22039473684210528
Austria,Europe,2024,14,premium,21233,38162,3318,41480,62713,0.5118852459016393,33.86,7.370000000000001,26311,25.7,1.2391560307069185,445,1.68,0.308,5.454545454545454,56638,59.3,20.1,5071,90.2,31.5,Moderate Growth,0,3358.6333999999997,4574.042,4387.904,0.22039473684210528
Austria,Europe,2025,15,commercial,3416,21178,14119,35297,38713,0.09677876306768281,8.82,0.6500000000000004,28762,28.8,8.419789227166277,481,1.6,0.277,5.776173285198555,57542,59.2,19.2,5068,92.5,14.25,Slow Growth,0,3406.4864000000002,4687.9,4574.042,0.2053475935828877
